ChannelNo,Channel,Group
969,Сетанта Спорт + HD UA,Спорт
972,Setanta Qazaqstan HD,Спорт
973,Setanta Sports Ukraine HD,Спорт
1066,QSport HD KG,Спорт
2001,beIN Sports 1 HD QA,Арабские | عربي
2009,beIN Sports 1 Premium HD QA,Арабские | عربي
2108,Беларусь 2 HD,Беларусь | Беларускія
2110,Беларусь 5 HD,Беларусь | Беларускія
2118,Беларусь 5 BY,Беларусь | Беларускія
2132,BT Sport 1 UK,Великобритания | United Kingdom
2133,BT Sport 2 UK,Великобритания | United Kingdom
2136,beIN Sports 1 HD EN,Великобритания | United Kingdom
2137,beIN Sports 2 HD EN,Великобритания | United Kingdom
2138,PREMIER SPORTS UK,Великобритания | United Kingdom
2144,SKY SPORTS PREMIER LEAGUE UK,Великобритания | United Kingdom
2145,SKY SPORTS FOOTBALL UK,Великобритания | United Kingdom
2146,SKY SPORTS MAIN EVENT UK,Великобритания | United Kingdom
2183,Sky Sport 1 HD DE,Германия | Germany
2186,Sky Sport Austria 1 HD DE,Германия | Germany
2312,Sport 1 HD IL,Израиль | ישראלי
2697,TV3 sport LV,Латвия | Latvia
2698,TV3 sport2 LV,Латвия | Latvia
2794,Ziggo Sport Select HD NL,Нидерланды | Netherlands
2813,CANAL+ Sport 2 HD PL,Польша | Poland
2828,Canal+ Sport FHD PL,Польша | Poland
2882,SPORT TV 1 HD PT,Португалия | Portugal
2883,SPORT TV 2 HD PT,Португалия | Portugal
2884,SPORT TV 3 HD PT,Португалия | Portugal
2954,Eurosport 1 HD RO,Румыния | Romania
3035,NBC,США | USA
3056,USA,США | USA
3189,S Sport 1 HD TR,Турция | Türk
3517,Canal+ Sport HD FR,Франция | France
3519,RMC Sport 1 HD FR,Франция | France
3605,VIASAT SPORT PREMIUM HD SE,Швеция | Sweden
