ChannelNo,Channel,Group
1,Первый FHD,Общие
2,Первый HD,Общие
3,Первый канал HD 50,Общие
4,Первый канал,Общие
5,Первый канал (+2),Общие
6,Первый канал +4,Общие
7,Первый канал HD +4,Общие
8,Первый канал +6,Общие
9,Первый канал +8,Общие
10,Россия FHD,Общие
11,Россия HD,Общие
12,Россия 1,Общие
13,Россия-1 +2,Общие
14,Россия-1 +4,Общие
15,Россия-1 +6,Общие
16,Россия-1 +8,Общие
17,НТВ HD,Общие
18,Мир,Общие
19,МИР HD,Общие
20,НТВ,Общие
21,НТВ (+2),Общие
22,НТВ +4,Общие
23,НТВ +7,Общие
24,НТВ +8,Общие
25,ТВЦ,Общие
26,ТВЦ (+2),Общие
27,ТВЦ +4,Общие
28,ТВЦ +7,Общие
29,ТВЦ +8,Общие
30,Пятый канал,Общие
31,Пятый Канал (+2),Общие
32,5 канал +4,Общие
33,5 канал +7,Общие
34,5 канал +8,Общие
35,ТНТ FHD,Общие
36,ТНТ HD,Общие
37,ТНТ,Общие
38,ТНТ (+2),Общие
39,ТНТ +4,Общие
40,ТНТ +7,Общие
41,СТС,Общие
42,СТС +2,Общие
43,СТС +4,Общие
44,СТС +7,Общие
45,Рен ТВ HD,Общие
46,РЕН ТВ,Общие
47,РЕН ТВ (+2),Общие
48,Рен ТВ +4,Общие
49,Рен ТВ +7,Общие
50,Мир,Общие
51,Мир +2,Общие
52,Мир +4,Общие
53,Мир +7,Общие
54,ОТР,Общие
55,ОТР +2,Общие
56,ОТР +4,Общие
57,Телеканал Звезда,Общие
58,Звезда (+2),Общие
59,Звезда +4,Общие
60,Звезда +7,Общие
61,СТС Love,Общие
62,Че,Общие
63,ТВ3 HD,Общие
64,ТВ3,Общие
65,ТВ3 +2,Общие
66,ТВ3 +4,Общие
67,ТВ3 +7,Общие
68,Пятница! HD,Общие
69,Пятница!,Общие
70,Пятница +2,Общие
71,Пятница +4,Общие
72,Пятница +7,Общие
73,RTVi,Общие
74,Суббота,Общие
75,Домашний,Общие
76,Домашний +2,Общие
77,Домашний +4,Общие
78,Домашний +7,Общие
79,Настоящее время,Общие
80,Ностальгия,Общие
81,Ю ТВ,Общие
82,ТНТ4,Общие
83,КВН ТВ,Общие
84,Сарафан,Общие
85,Точка ТВ,Общие
86,360° HD,Общие
87,360°,Общие
88,СПАС,Общие
89,Союз,Общие
90,Здоровое ТВ,Общие
91,Психология 21,Общие
92,Успех,Общие
93,Кто есть кто,Общие
94,Открытый мир,Общие
95,Загородный,Общие
96,Три ангела,Общие
97,РЖД ТВ,Общие
98,БСТ,Общие
99,Красная линия,Общие
100,ЛДПР ТВ,Общие
101,Хузур ТВ,Общие
102,Life TV,Общие
103,Дождь,Общие
104,ТБН,Общие
105,CNL,Общие
106,Вместе-РФ,Общие
107,Россия-Культура,Общие
